date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,WSTCSTPAPR,550.25,66.67,133.33,321.94,37.05,56.89,86.24,95.19,86.65,486.37
25th Aug,VARROC,549.40,66.67,6.22,73.74,46.57,11.54,52.82,66.90,63.23,515.98
25th Aug,SKIPPER,546.50,66.67,51.60,82.58,120.16,178.92,187.31,152.73,161.31,502.85
25th Aug,EMSLIMITED,546.45,-66.67,-133.33,-93.15,-125.31,-179.01,-171.51,-179.83,-131.45,581.29
25th Aug,LINCOLN,544.90,-66.67,-103.25,-54.24,-22.46,-67.16,-79.25,-61.30,-58.83,533.33
25th Aug,CONCOR,544.40,-66.67,-105.65,-5.10,-83.13,-138.90,-98.98,-60.66,-64.94,562.14
25th Aug,SHOPERSTOP,543,66.67,133.33,114.38,80.00,130.36,136.45,138.40,52.25,550.44
25th Aug,HLEGLAS,542.95,66.67,96.11,102.29,251.64,326.11,160.54,138.67,158.85,476.13
25th Aug,ITDC,542.55,-66.67,-114.11,-20.92,-91.36,-141.34,-132.59,-116.13,-92.27,570.41
25th Aug,DEEPINDS,542.10,-66.67,-111.20,-9.83,77.11,139.45,173.73,179.95,125.21,523.58
25th Aug,UFLEX,540,-66.67,-101.90,-109.75,-249.48,-254.16,-155.08,-32.72,-4.28,579.30
25th Aug,ANANTRAJ,539.05,-66.67,-49.86,8.17,-76.78,-64.17,16.08,35.95,-1.05,570.34
25th Aug,MAYURUNIQ,537.95,-66.67,-85.85,47.26,-42.98,-77.28,-30.94,7.84,10.45,557.33
25th Aug,HGS,535.55,-66.67,-74.56,36.55,-75.21,-36.58,9.43,34.66,-1.84,573.90
25th Aug,CELLO,535.45,-66.67,-82.30,-44.51,-107.24,-160.57,-142.01,-94.71,-105.33,565.10
25th Aug,ARVINDFASN,534.60,66.67,133.33,186.96,61.79,108.48,124.56,122.21,124.27,539.37
25th Aug,BERGEPAINT,534.55,66.67,-41.32,-76.40,-129.48,-168.09,-149.15,-43.45,-4.39,559.14
25th Aug,TRITURBINE,532.15,66.67,55.80,97.32,-62.09,-120.18,-79.39,-56.06,-68.27,549.47
25th Aug,JASH,532,-66.67,63.13,129.11,-45.45,-74.37,-88.07,-99.73,-90.25,553.06
25th Aug,HNDFDS,531.60,66.67,10.00,60.03,-65.91,-61.68,-54.19,-54.46,-29.23,546.61
25th Aug,GNFC,530.25,-66.67,27.85,88.21,-1.15,-38.35,11.90,36.08,16.31,509.77
25th Aug,KIRIINDUS,529,-66.67,37.89,-20.47,-87.74,-121.76,-120.16,-125.59,-119.62,564.90
25th Aug,ELLEN,528.70,66.67,83.45,147.05,-51.35,NaN,NaN,NaN,NaN,552.67
25th Aug,GRAPHITE,527.60,-66.67,-109.62,-74.42,-77.80,-105.72,-4.21,27.71,42.04,560.80
25th Aug,RATEGAIN,527.25,66.67,133.33,257.37,199.26,265.09,229.47,230.52,32.49,486.51
25th Aug,VESUVIUS,526.45,-66.67,-31.78,62.35,12.67,-52.36,-11.28,28.31,46.64,551.06
25th Aug,SBCL,525.80,-66.67,20.32,63.25,-30.17,10.54,49.12,70.67,72.60,536.03
25th Aug,JINDALPOLY,523.70,66.67,-46.00,-42.59,-85.28,-147.71,-173.03,-171.77,-140.15,552.88
25th Aug,PREMEXPLN,523.30,-66.67,60.05,70.24,72.35,-13.97,12.98,41.75,55.63,476.60
