date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,JKPAPER,348.70,-66.67,-133.33,-120.64,-72.11,-102.38,-34.23,8.81,5.17,370.09
22nd Aug,MAHASTEEL,348,-66.67,-133.33,-7.23,-79.45,23.32,57.06,73.99,87.72,368.48
22nd Aug,VALIANTORG,347,-66.67,-100.03,-16.99,-63.72,-105.89,-61.35,-14.06,5.05,370.47
22nd Aug,MAHLIFE,346.80,-66.67,-106.97,4.96,-79.70,-71.58,-11.98,23.05,-7.64,364.87
22nd Aug,APTUS,345.95,-66.67,-133.33,2.99,40.80,80.98,104.26,112.96,122.72,338.02
22nd Aug,HUBTOWN,345.65,66.67,118.75,126.34,82.10,94.25,115.12,144.23,148.15,319.87
22nd Aug,EBGNG,344.85,66.67,57.13,103.44,NaN,NaN,NaN,NaN,NaN,362.26
22nd Aug,DIFFNKG,344.50,66.67,-43.27,70.50,83.72,131.68,111.72,127.40,136.68,322.96
22nd Aug,BOROLTD,343.80,66.67,133.33,110.03,111.15,-1.70,8.46,19.77,-7.81,319.24
22nd Aug,OAL,343.70,66.67,133.33,66.59,-77.19,-136.75,-87.12,-22.13,-18.25,353.89
22nd Aug,PRINCEPIPE,342.65,-66.67,39.30,87.57,32.17,-2.46,42.48,60.69,44.20,314.61
22nd Aug,ASIANHOTNR,341.45,-66.67,-31.11,47.71,9.90,-25.90,-57.01,-80.20,-54.06,308.68
22nd Aug,ZUARIIND,341.35,-66.67,52.64,118.97,148.82,257.68,289.64,227.10,233.30,305.83
22nd Aug,JWL,340.90,-66.67,30.19,99.59,-26.50,-83.46,-97.98,-52.90,-50.37,327.91
22nd Aug,JYOTHYLAB,340.65,-66.67,-38.62,58.15,27.65,15.26,-30.67,-16.35,-35.08,328.15
22nd Aug,TRIVENI,340.05,-66.67,3.60,65.95,-52.23,-91.80,-112.18,-116.52,-131.08,348.33
22nd Aug,ASIANENE,338.95,-66.67,-72.08,-80.45,44.78,98.23,120.64,127.15,114.39,320.74
22nd Aug,SANGHVIMOV,338.05,-66.67,47.71,97.35,130.23,197.85,184.45,174.92,187.27,313.63
22nd Aug,NTPC,337,-66.67,-56.68,-37.68,-13.34,18.07,-33.92,-28.47,6.54,330.61
22nd Aug,PANAMAPET,335.95,-66.67,-61.49,-47.21,-120.24,-154.29,-152.25,-157.88,-130.39,351.26
22nd Aug,MONARCH,334.75,-66.67,-82.65,13.86,-71.92,-22.30,6.47,11.07,-25.15,356.73
